workerId,fName,lName,rating,salary
1,Gipsy,Olivia,9,4134
2,Francis,Litchmore,4,4970
3,Yetta,Silvester,2,1761
4,Ardelle,MacAlpyne,4,5577
5,Hi,Hares,9,6848
6,Vita,Janousek,7,5335
7,Bea,Sparshott,3,3239
8,Felecia,Orrow,4,5393
9,Torrance,Charlotte,5,3806
10,Hertha,Tidbold,6,5949
11,Bonnie,Januszewski,8,6452
12,Dianna,Gant,5,6757
13,Polly,Cestard,5,6304
14,Mile,Skillern,1,4096
15,Simon,Marle,2,6771
16,Klement,Harme,2,5491
17,Stavros,Doudney,5,1973
18,Dwain,Dunbabin,8,3938
19,Doralynne,Imm,2,3555
20,Ravid,Swyre,5,5858
21,Jerry,McPhate,6,5979
22,Gisela,Scrinage,7,5424
23,Eveleen,Humberstone,2,6948
24,Billye,Reicharz,7,6630
25,Krysta,Arunowicz,1,3519
26,Gussi,Skirven,10,3371
27,Samaria,Donnan,8,2652
28,Kristen,Tourne,6,4518
29,Randi,Shewen,9,6943
30,Rowan,Ferreiro,7,6073
31,Althea,Godin,6,6098
32,Marleen,Hucquart,10,2294
33,Carolan,Thurber,7,6261
34,Lars,Winslade,6,6495
35,Melinda,Brogini,7,2913
36,Cyrille,Bourdon,10,4214
37,Kerk,Workes,9,2863
38,Beth,Sollon,7,6475
39,Simon,Cherryman,7,4652
40,Luther,Cantillion,5,6528
41,Pepe,Bedle,3,3746
42,Blithe,Vlies,9,5695
43,Crystal,Palphramand,3,4084
44,Agatha,Mattschas,2,1640
45,Courtnay,MacLaverty,7,5655
46,Susanna,Pentecust,8,5429
47,Gino,McVeagh,1,4280
48,Lura,Semken,4,5007
49,Nonna,Moreinis,1,3932
50,Elie,Giffen,9,1522
51,Lodovico,Rosborough,4,2665
52,Dionne,Pilling,5,5876
53,Pat,Hawarden,1,1845
54,Cecilio,Stealfox,5,3018
55,Danni,Phin,9,3282
56,Polly,Axtens,4,3126
57,Shane,Clelle,5,3618
58,Olenolin,O'Crotty,7,1645
59,Celestia,Lipman,3,1688
60,Lilah,Jeanin,10,4540
61,Monroe,Selburn,2,6072
62,Ferdie,Naismith,8,4097
63,Giacobo,Adaway,4,2278
64,Roderigo,Lettuce,10,2452
65,Bobbye,Curds,2,3100
66,Verge,Mart,7,5625
67,Spense,Kellock,3,3437
68,Lyda,Toomer,1,2542
69,Amanda,Whitwell,6,3629
70,Gwyneth,Scaddon,9,3679
71,Barbie,Linster,2,4632
72,Vi,Wyeth,2,4991
73,Daryn,Axelbey,4,3917
74,Roth,McCaighey,3,1523
75,Shanon,Newbatt,1,5066
76,Marie-ann,Krojn,2,3572
77,Ondrea,Stocking,7,6292
78,Caitlin,Juggins,3,1881
79,Freddy,MacGragh,2,4915
80,Joleen,McGrae,1,3995
81,Elbert,Campbell-Dunlop,6,2925
82,Zachariah,Ruprecht,4,4154
83,Matthiew,Dunbabin,1,1686
84,Tiertza,Tacon,10,3950
85,Nell,Jackling,9,6942
86,Jewelle,Pinnion,1,5864
87,Cecelia,Moylan,5,5618
88,Cortney,Leadbeater,8,4387
89,Frederique,Proffitt,10,3159
90,Diann,Stummeyer,7,3807
91,Ginnifer,McFarland,6,5437
92,Lorita,Chicotti,8,6067
93,Kakalina,Littleover,1,1735
94,Aharon,Satterthwaite,8,6951
95,Mile,Bearblock,3,1939
96,Derek,McFarlane,8,4859
97,Rufus,Bettis,7,2670
98,Ken,Garbar,9,6409
99,Malory,Rowney,7,3060
100,Alyssa,Bonnyson,3,6827
